Date,^DJI,^IXIC,^FCHI,^FTSE,^STOXX50E,^HSI,^N225
2019-04-15,0.9974335048120309,0.996972560176035,0.9963933565056299,0.995582270119892,0.996275251176818,0.9894075730627823,0.9976351550298
2019-04-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-17,0.9998820121026935,0.9994812771190477,1.0062257147490055,1.0001874057700975,1.0041491131736722,0.9998277638345928,1.0025340387027368
2019-04-18,1.0040403840528207,0.9997287675628954,1.0093530562808428,0.9986612939757249,1.0103569573865585,0.9944702921137033,0.9940805045752622
2019-04-19,,,,,,,0.9990504935622884
2019-04-22,1.0022073630650037,1.0018799508388156,,,,,0.9998308062674632
2019-04-23,1.0077017006057845,1.015073297148257,1.0113987668683027,1.0071219421957458,1.011690955886339,0.9944696438782294,1.0017136468588415
2019-04-24,1.0054584538623759,1.0127221074150028,1.0085717066470625,1.0002543410713112,1.011338634786048,0.9892452549001254,0.9990252683148919
2019-04-25,1.0003561048990672,1.014805848782057,1.005245384587938,0.995207458579697,1.0082462734359972,0.9807477305438119,1.003866494279494
2019-04-26,1.0034276296349567,1.0182707149959251,1.0073598066047051,0.9944176350986756,1.0106976472380402,0.9825800977577989,1.0016682062563886
2019-04-29,1.0038457557065754,1.0202019338921593,1.0094615991428204,0.9960910176290196,1.0111394232155355,0.992132106759456,
2019-04-30,1.0053019242364123,1.011894677588309,1.010443783982571,0.9930789290744004,1.014800658370978,0.9857032314473548,
2019-05-01,0.9991486855719999,1.0061760919836837,,0.9886745339613311,,,
2019-05-02,0.994523382794234,1.004567373581973,1.001843109020839,0.9841229334787956,1.0073829528046925,0.9938370308792802,
2019-05-03,1.001976703370895,1.0204706639597947,1.003648241287691,0.9880453813498249,1.0112953524419948,0.9983963302611941,
2019-05-06,0.9994639598658039,1.0153820651274001,0.9918334964861788,,0.999881572739398,0.969463895650165,
2019-05-07,0.9815681935344109,0.9954413541944687,0.9759580651850669,0.9719675089249792,0.9820405059297164,0.9745485250601028,0.9865923854910003
2019-05-08,0.9816528819688355,0.9928864349663776,0.9799083541440057,0.9733731502504681,0.9866891988628446,0.9626062125720992,0.9721411313040047
2019-05-09,0.9763993194800676,0.9887953050177818,0.9610195998910509,0.9648589668627771,0.9674737413984271,0.9396346920845846,0.9631202488422315
2019-05-10,0.9807092741293003,0.9895890444067434,0.9636024607523496,0.9643100843195233,0.9704593067366853,0.9475726595798539,0.960545691536534
2019-05-13,0.9573702638897523,0.955850024086832,0.9518690568587961,0.9590088607565976,0.958831864518086,,0.9536316885358721
2019-05-14,0.9651978527088707,0.9667834866319456,0.966118464863024,0.9694373676124002,0.9714207528124889,0.9333601616388119,0.948049350076335
2019-05-15,0.9695818635915191,0.9777406301369144,0.9720710119374185,0.9768537859135835,0.9775997656268118,0.9382287989888564,0.9535093416913573
2019-05-16,0.977696743342064,0.9872278451956124,0.9854286727672054,0.9844174749507382,0.9928393097861873,0.9384398644591483,0.9478580952389323
2019-05-17,0.9739663174825429,0.9770068865818128,0.9836416456970218,0.9837615220721444,0.9891087805848093,0.9275334322583882,0.9562782300841398
2019-05-20,0.9707870678767095,0.9627698080700927,0.969236709637511,0.978714574214025,0.972979974584664,0.9222612035023126,0.9586021169871386
2019-05-21,0.9782505776460041,0.9731870501037232,0.9740968509675594,0.9811242450577202,0.9778105379537165,0.9179342965377808,0.9572844274088573
2019-05-22,0.9744429944944396,0.9688271290540903,0.9729247823578724,0.9818337984704891,0.977871161432358,0.9195506068683271,0.9577758363224226
2019-05-23,0.9636259851583334,0.9535075621300193,0.9552695660652444,0.9680183261533675,0.9606855331161744,0.9049867004769003,0.9518254026151638
2019-05-24,0.9672255758776623,0.9545987783188118,0.961625461594197,0.9742701094333345,0.9674708512093292,0.907867523746324,0.9502989675227137
2019-05-27,,,0.9651851198952619,,0.9713226273679901,0.9056823219639097,0.9532402137905637
2019-05-28,0.9582313983367399,0.9508914264000345,0.9609345496257259,0.973105409045613,0.966939620354629,0.9090915867916318,0.9567305266803134
2019-05-29,0.9498632654649425,0.9433866372615876,0.944552702726095,0.961900413475828,0.9521995854622924,0.9039438840700864,0.9451755176229555
2019-05-30,0.9515066050333726,0.9459378334521755,0.9493983598988087,0.9663048085888973,,0.8999335753109926,0.942437655405542
2019-05-31,0.9380923852619383,0.9316169560799369,0.9419317767927766,0.9587411195517427,0.9471813007867024,0.8928379249904693,0.9270769739195552
2019-06-03,0.9382715821497749,0.9166011523960707,0.9480508033584875,0.9618334781746142,0.9528954161107458,0.8925979482180428,0.9185128705892073
2019-06-04,0.957642049528041,0.940862967135161,0.9528982268918518,0.9657826609462259,0.9625016997484055,0.8882056342941976,0.91840748706437
2019-06-05,0.9654821164163989,0.9469077762718126,0.9571922496333919,0.9665725497937523,0.964366929102886,0.8926503904678789,0.9349481300357109
2019-06-06,0.9723279248409711,0.951916360314593,0.9547378031913898,0.9718871734902217,0.9639222629362926,0.8949683508753415,0.9348554030809959
2019-06-07,0.9822807725061914,0.9677346921972642,0.9702242818772457,0.9815258568650028,0.9754630699743683,,0.9398357634240945
2019-06-10,0.9852574196150228,0.9778681289130421,0.9735614670543711,0.9873626282041436,,0.9153256025202877,0.9510729519428275
2019-06-11,0.9847217486544728,0.9777931188623666,0.9782552172111355,0.9904416520599764,0.9820232352875453,0.9223186371652974,0.9542167033326331
2019-06-12,0.9830705087700153,0.9740620249503326,0.9721904179173972,0.9863050635182672,0.9778451497304758,0.9063584315631557,0.9508614817503684
